2026-08-25 15:18:57 | INFO     | src.db_manager | Connected to MySQL database 'market_data_db' at 127.0.0.1:3306
2026-08-25 15:18:57 | INFO     | src.pipeline | === Pipeline run #1 started for 5 ticker(s) ===
2026-08-25 15:18:57 | INFO     | src.pipeline | [AAPL] Registering company metadata...
2026-08-25 15:18:57 | INFO     | src.pipeline | [AAPL] Extracting last 90 days of price history...
2026-08-25 15:18:58 | INFO     | src.pipeline | [AAPL] Extracted 62 raw rows from source='yfinance'
2026-08-25 15:18:58 | INFO     | src.pipeline | [AAPL] Transforming (validate -> clean -> enrich)...
2026-08-25 15:18:58 | INFO     | src.pipeline | [AAPL] Loading 62 curated rows into stock_prices...
2026-08-25 15:18:58 | INFO     | src.pipeline | [AAPL] Done. inserted=62 updated=0 rejected=0
2026-08-25 15:18:58 | INFO     | src.pipeline | [MSFT] Registering company metadata...
2026-08-25 15:18:58 | INFO     | src.pipeline | [MSFT] Extracting last 90 days of price history...
2026-08-25 15:18:58 | INFO     | src.pipeline | [MSFT] Extracted 62 raw rows from source='yfinance'
2026-08-25 15:18:58 | INFO     | src.pipeline | [MSFT] Transforming (validate -> clean -> enrich)...
2026-08-25 15:18:58 | INFO     | src.pipeline | [MSFT] Loading 62 curated rows into stock_prices...
2026-08-25 15:18:58 | INFO     | src.pipeline | [MSFT] Done. inserted=62 updated=0 rejected=0
2026-08-25 15:18:58 | INFO     | src.pipeline | [GOOGL] Registering company metadata...
2026-08-25 15:18:58 | INFO     | src.pipeline | [GOOGL] Extracting last 90 days of price history...
2026-08-25 15:18:59 | INFO     | src.pipeline | [GOOGL] Extracted 62 raw rows from source='yfinance'
2026-08-25 15:18:59 | INFO     | src.pipeline | [GOOGL] Transforming (validate -> clean -> enrich)...
2026-08-25 15:18:59 | INFO     | src.pipeline | [GOOGL] Loading 62 curated rows into stock_prices...
2026-08-25 15:18:59 | INFO     | src.pipeline | [GOOGL] Done. inserted=62 updated=0 rejected=0
2026-08-25 15:18:59 | INFO     | src.pipeline | [AMZN] Registering company metadata...
2026-08-25 15:18:59 | INFO     | src.pipeline | [AMZN] Extracting last 90 days of price history...
2026-08-25 15:18:59 | INFO     | src.pipeline | [AMZN] Extracted 62 raw rows from source='yfinance'
2026-08-25 15:18:59 | INFO     | src.pipeline | [AMZN] Transforming (validate -> clean -> enrich)...
2026-08-25 15:18:59 | INFO     | src.pipeline | [AMZN] Loading 62 curated rows into stock_prices...
2026-08-25 15:18:59 | INFO     | src.pipeline | [AMZN] Done. inserted=62 updated=0 rejected=0
2026-08-25 15:18:59 | INFO     | src.pipeline | [TSLA] Registering company metadata...
2026-08-25 15:18:59 | INFO     | src.pipeline | [TSLA] Extracting last 90 days of price history...
2026-08-25 15:19:00 | INFO     | src.pipeline | [TSLA] Extracted 62 raw rows from source='yfinance'
2026-08-25 15:19:00 | INFO     | src.pipeline | [TSLA] Transforming (validate -> clean -> enrich)...
2026-08-25 15:19:00 | INFO     | src.pipeline | [TSLA] Loading 62 curated rows into stock_prices...
2026-08-25 15:19:00 | INFO     | src.pipeline | [TSLA] Done. inserted=62 updated=0 rejected=0
2026-08-25 15:19:00 | INFO     | src.pipeline | === Pipeline run #1 finished: status=SUCCESS processed=5 failed=0 inserted=310 updated=0 rejected=0 ===
2026-08-25 15:19:00 | INFO     | src.db_manager | MySQL connection closed.
2026-08-25 15:47:03 | INFO     | src.db_manager | Connected to MySQL database 'market_data_db' at 127.0.0.1:3306
2026-08-25 15:47:03 | INFO     | src.db_manager | MySQL connection closed.
2026-08-26 10:13:35 | INFO     | src.db_manager | Connected to MySQL database 'market_data_db' at 127.0.0.1:3306
2026-08-26 10:13:35 | INFO     | src.pipeline | === Pipeline run #2 started for 5 ticker(s) ===
2026-08-26 10:13:35 | INFO     | src.pipeline | [AAPL] Registering company metadata...
2026-08-26 10:13:35 | INFO     | src.pipeline | [AAPL] Extracting last 90 days of price history...
2026-08-26 10:13:36 | INFO     | src.pipeline | [AAPL] Extracted 62 raw rows from source='yfinance'
2026-08-26 10:13:36 | INFO     | src.pipeline | [AAPL] Transforming (validate -> clean -> enrich)...
